;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;cocoa;cue0FileName;breakMessage
0;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;0;redblackvert.png;
1;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;0;blueblackvert.png;
2;red;black;hori;6;redblackhori.png;redblackhori6.png;trial;0;redblackhori.png;
3;red;black;hori;1;redblackhori.png;redblackhori1.png;trial;0;redblackhori.png;
4;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;trial;0;blueblackvert.png;
5;red;black;vert;6;redblackvert.png;redblackvert6.png;trial;0;redblackvert.png;
6;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;trial;0;blueblackvert.png;
7;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;trial;0;blueblackvert.png;
8;red;black;hori;6;redblackhori.png;redblackhori6.png;trial;0;redblackhori.png;
9;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;trial;0;blueblackvert.png;
10;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;0;redblackvert.png;
11;red;black;hori;1;redblackhori.png;redblackhori1.png;trial;0;redblackhori.png;
12;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;0;redblackvert.png;
13;blue;black;hori;4;blueblackhori.png;blueblackhori4.png;trial;0;blueblackhori.png;
14;red;black;vert;1;redblackvert.png;redblackvert1.png;trial;0;redblackvert.png;
15;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;0;redblackvert.png;
16;red;black;hori;3;redblackhori.png;redblackhori3.png;trial;0;redblackhori.png;
17;blue;black;hori;1;blueblackhori.png;blueblackhori1.png;trial;0;blueblackhori.png;
18;red;black;hori;2;redblackhori.png;redblackhori2.png;trial;0;redblackhori.png;
19;blue;black;hori;7;blueblackhori.png;blueblackhori7.png;trial;0;blueblackhori.png;
20;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;trial;0;blueblackhori.png;
21;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;trial;0;blueblackvert.png;
22;blue;black;hori;8;blueblackhori.png;blueblackhori8.png;trial;0;blueblackhori.png;
23;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;0;redblackvert.png;
24;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;trial;0;blueblackvert.png;
25;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;trial;0;blueblackhori.png;
26;red;black;hori;4;redblackhori.png;redblackhori4.png;trial;0;redblackhori.png;
27;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;trial;0;blueblackhori.png;
28;red;black;hori;9;redblackhori.png;redblackhori9.png;trial;0;redblackhori.png;
29;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;trial;0;blueblackvert.png;
30;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;trial;0;blueblackvert.png;
31;red;black;hori;4;redblackhori.png;redblackhori4.png;trial;0;redblackhori.png;
32;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;0;blueblackvert.png;
33;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;trial;0;blueblackvert.png;
34;red;black;vert;9;redblackvert.png;redblackvert9.png;trial;0;redblackvert.png;
35;red;black;hori;7;redblackhori.png;redblackhori7.png;trial;0;redblackhori.png;
36;red;black;hori;2;redblackhori.png;redblackhori2.png;trial;0;redblackhori.png;
37;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;0;redblackvert.png;
38;red;black;hori;8;redblackhori.png;redblackhori8.png;trial;0;redblackhori.png;
39;red;black;hori;3;redblackhori.png;redblackhori3.png;trial;0;redblackhori.png;
40;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;trial;0;blueblackvert.png;
41;blue;black;hori;1;blueblackhori.png;blueblackhori1.png;trial;0;blueblackhori.png;
42;blue;black;hori;4;blueblackhori.png;blueblackhori4.png;trial;0;blueblackhori.png;
43;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;trial;0;blueblackhori.png;
44;red;black;hori;1;redblackhori.png;redblackhori1.png;trial;0;redblackhori.png;
45;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;0;blueblackvert.png;
46;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;trial;0;blueblackvert.png;
47;red;black;hori;3;redblackhori.png;redblackhori3.png;trial;0;redblackhori.png;
48;red;black;hori;4;redblackhori.png;redblackhori4.png;trial;0;redblackhori.png;
49;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;trial;0;blueblackvert.png;
50;blue;black;hori;9;blueblackhori.png;blueblackhori9.png;trial;0;blueblackhori.png;
51;red;black;vert;4;redblackvert.png;redblackvert4.png;trial;0;redblackvert.png;
52;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;trial;0;blueblackvert.png;
53;red;black;vert;8;redblackvert.png;redblackvert8.png;trial;0;redblackvert.png;
