;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;cocoa;cue0FileName;breakMessage
70;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;300;blackblackvert.png;
71;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;300;blackblackvert.png;
72;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;300;blackblackhori.png;
73;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;300;blackblackhori.png;
74;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;300;blackblackvert.png;
75;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;300;blackblackhori.png;
76;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;300;blackblackvert.png;
77;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;300;blackblackhori.png;
78;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;300;blackblackhori.png;
79;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;300;blackblackhori.png;
80;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;300;blackblackhori.png;
81;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;300;blackblackvert.png;
82;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;300;blackblackvert.png;
83;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;300;blackblackvert.png;
84;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;300;blackblackvert.png;
85;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;300;blackblackhori.png;
86;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;300;blackblackhori.png;
87;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;300;blackblackvert.png;
88;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;300;blackblackhori.png;
89;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;300;blackblackhori.png;
90;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;300;blackblackvert.png;
91;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;300;blackblackvert.png;
92;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;300;blackblackvert.png;
93;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;300;blackblackhori.png;
94;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;300;blackblackhori.png;
95;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;300;blackblackhori.png;
96;;;;;;;break;;;You have completed block 1 out of 8.
0;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;0;blackredvert.png;
1;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;0;blackbluevert.png;
2;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;0;blackredhori.png;
3;black;red;vert;7;blackredvert.png;blackredvert7.png;trial;0;blackredvert.png;
4;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;trial;0;blackbluevert.png;
5;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;0;blackredhori.png;
6;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;0;blackredhori.png;
7;black;red;vert;7;blackredvert.png;blackredvert7.png;trial;0;blackredvert.png;
8;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;0;blackredvert.png;
9;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;0;blackbluehori.png;
10;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;0;blackredvert.png;
11;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;0;blackredvert.png;
