;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
39;trial;;;;;;;;;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;parity;L;300;blackblackvert.png;0.0;21.0;;horiAA.png
40;trial;;;;;;;;;blue;black;hori;2;blueblackhori.png;blueblackhori2.png;magnit;L;300;blackblackhori.png;0.0;22.0;;horiAA.png
41;trial;;;;;;;;;red;black;vert;8;redblackvert.png;redblackvert8.png;parity;L;300;blackblackvert.png;0.0;23.0;;horiAA.png
42;trial;;;;;;;;;red;black;vert;3;redblackvert.png;redblackvert3.png;parity;A;300;blackblackvert.png;0.0;24.0;;horiAA.png
43;trial;;;;;;;;;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;parity;L;300;blackblackvert.png;0.0;25.0;;horiAA.png
44;trial;;;;;;;;;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;magnit;A;300;blackblackhori.png;0.0;26.0;;horiAA.png
45;trial;;;;;;;;;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;parity;A;300;blackblackvert.png;0.0;27.0;;horiAA.png
46;trial;;;;;;;;;red;black;hori;3;redblackhori.png;redblackhori3.png;magnit;L;300;blackblackhori.png;0.0;28.0;;horiAA.png
47;trial;;;;;;;;;red;black;vert;4;redblackvert.png;redblackvert4.png;parity;L;300;blackblackvert.png;0.0;29.0;;horiAA.png
48;trial;;;;;;;;;blue;black;hori;7;blueblackhori.png;blueblackhori7.png;magnit;A;300;blackblackhori.png;0.0;30.0;;horiAA.png
49;trial;;;;;;;;;red;black;vert;4;redblackvert.png;redblackvert4.png;parity;L;300;blackblackvert.png;0.0;31.0;;horiAA.png
50;trial;;;;;;;;;blue;black;hori;3;blueblackhori.png;blueblackhori3.png;magnit;L;300;blackblackhori.png;0.0;32.0;;horiAA.png
51;trial;;;;;;;;;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;parity;A;300;blackblackvert.png;0.0;33.0;;horiAA.png
52;trial;;;;;;;;;red;black;hori;4;redblackhori.png;redblackhori4.png;magnit;L;300;blackblackhori.png;0.0;34.0;;horiAA.png
53;trial;;;;;;;;;blue;black;hori;6;blueblackhori.png;blueblackhori6.png;magnit;A;300;blackblackhori.png;0.0;35.0;;horiAA.png
54;trial;;;;;;;;;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;parity;A;300;blackblackvert.png;0.0;36.0;;horiAA.png
55;trial;;;;;;;;;red;black;hori;3;redblackhori.png;redblackhori3.png;magnit;L;300;blackblackhori.png;0.0;37.0;;horiAA.png
56;trial;;;;;;;;;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;parity;A;300;blackblackvert.png;0.0;38.0;;horiAA.png
57;trial;;;;;;;;;blue;black;hori;4;blueblackhori.png;blueblackhori4.png;magnit;L;300;blackblackhori.png;0.0;39.0;;horiAA.png
58;trial;;;;;;;;;blue;black;hori;8;blueblackhori.png;blueblackhori8.png;magnit;A;300;blackblackhori.png;0.0;40.0;;horiAA.png
59;trial;;;;;;;;;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;parity;A;300;blackblackvert.png;0.0;41.0;;horiAA.png
60;trial;;;;;;;;;red;black;hori;8;redblackhori.png;redblackhori8.png;magnit;A;300;blackblackhori.png;0.0;42.0;;horiAA.png
61;trial;;;;;;;;;red;black;hori;1;redblackhori.png;redblackhori1.png;magnit;L;300;blackblackhori.png;0.0;43.0;;horiAA.png
62;trial;;;;;;;;;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;parity;L;300;blackblackvert.png;0.0;44.0;;horiAA.png
