;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;randomise_trials;cue0FileName
0;blue;black;horiz;1;blueblackhoriz.png;blueblackhoriz1.png;trial;1;blueblackhoriz.png
1;blue;black;horiz;2;blueblackhoriz.png;blueblackhoriz2.png;trial;1;blueblackhoriz.png
2;blue;black;horiz;3;blueblackhoriz.png;blueblackhoriz3.png;trial;1;blueblackhoriz.png
3;blue;black;horiz;4;blueblackhoriz.png;blueblackhoriz4.png;trial;1;blueblackhoriz.png
4;blue;black;horiz;6;blueblackhoriz.png;blueblackhoriz6.png;trial;1;blueblackhoriz.png
5;blue;black;horiz;7;blueblackhoriz.png;blueblackhoriz7.png;trial;1;blueblackhoriz.png
6;blue;black;horiz;8;blueblackhoriz.png;blueblackhoriz8.png;trial;1;blueblackhoriz.png
7;blue;black;horiz;9;blueblackhoriz.png;blueblackhoriz9.png;trial;1;blueblackhoriz.png
8;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;trial;1;blueblackvert.png
9;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;trial;1;blueblackvert.png
10;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;trial;1;blueblackvert.png
11;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;trial;1;blueblackvert.png
12;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;trial;1;blueblackvert.png
13;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;1;blueblackvert.png
14;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;trial;1;blueblackvert.png
15;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;trial;1;blueblackvert.png
16;red;black;horiz;1;redblackhoriz.png;redblackhoriz1.png;trial;1;redblackhoriz.png
17;red;black;horiz;2;redblackhoriz.png;redblackhoriz2.png;trial;1;redblackhoriz.png
18;red;black;horiz;3;redblackhoriz.png;redblackhoriz3.png;trial;1;redblackhoriz.png
19;red;black;horiz;4;redblackhoriz.png;redblackhoriz4.png;trial;1;redblackhoriz.png
20;red;black;horiz;6;redblackhoriz.png;redblackhoriz6.png;trial;1;redblackhoriz.png
21;red;black;horiz;7;redblackhoriz.png;redblackhoriz7.png;trial;1;redblackhoriz.png
22;red;black;horiz;8;redblackhoriz.png;redblackhoriz8.png;trial;1;redblackhoriz.png
23;red;black;horiz;9;redblackhoriz.png;redblackhoriz9.png;trial;1;redblackhoriz.png
24;red;black;vert;1;redblackvert.png;redblackvert1.png;trial;1;redblackvert.png
25;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;1;redblackvert.png
26;red;black;vert;3;redblackvert.png;redblackvert3.png;trial;1;redblackvert.png
