"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"trial type";"2 246";"11148.16";"159.46";".565";"<.001"
"resp";"1 123";"6810.97";"1.44";".012";".232"
"cocoa";"1 123";"21473.99";"0.06";"<.001";".802"
"trial type x resp";"2 246";"5163.40";"20.86";".145";"<.001"
"trial type x cocoa";"2 246";"5787.39";"3.16";".025";".044"
"resp x cocoa";"1 123";"5479.18";"0.47";".004";".493"
"trial type x resp x cocoa";"2 246";"5152.37";"0.38";".003";".685"
