"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"trialType";"2 246";"0.00";"22.73";".156";"<.001"
"resp";"1 123";"0.00";"38.24";".237";"<.001"
"cocoa";"1 123";"0.00";"0.00";"<.001";".975"
"trialType x resp";"2 246";"0.00";"14.61";".106";"<.001"
"trialType x cocoa";"2 246";"0.00";"1.73";".014";".180"
"resp x cocoa";"1 123";"0.00";"2.36";".019";".127"
"trialType x resp x cocoa";"2 246";"0.00";"3.14";".025";".045"
