"Comparison";"Mean of differences";"df";"t-value";"adj. p-value";"p-value"
"t1.r0.c0.0 - t0.r0.c0.0 and t1.r1.c0.0 - t0.r1.c0.0";0.01;72;0.98;0.3655;0.3283
"t1.r0.c1.0 - t0.r0.c1.0 and t1.r1.c1.0 - t0.r1.c1.0";0.01;72;0.93;0.3655;0.3575
"t1.r0.c0.300 - t0.r0.c0.300 and t1.r1.c0.300 - t0.r1.c0.300";0.03;72;2.57;0.0986;0.0123
"t1.r0.c1.300 - t0.r0.c1.300 and t1.r1.c1.300 - t0.r1.c1.300";0.02;72;1.35;0.3655;0.1804
"t0.r1.c0.0 - t0.r0.c0.0 and t0.r1.c1.0 - t0.r0.c1.0";-0.02;72;-1.24;0.3655;0.2185
"t1.r1.c0.0 - t1.r0.c0.0 and t1.r1.c1.0 - t1.r0.c1.0";-0.01;72;-0.91;0.3655;0.3655
"t0.r1.c0.300 - t0.r0.c0.300 and t0.r1.c1.300 - t0.r0.c1.300";0.02;72;1.82;0.2923;0.0731
"t1.r1.c0.300 - t1.r0.c0.300 and t1.r1.c1.300 - t1.r0.c1.300";0.01;72;1.02;0.3655;0.3097
