"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"task_R";"1 72";"0.00";"38.99";".351";"<.001"
"context_R";"1 72";"0.00";"1.70";".023";".197"
"cocoa";"1 72";"0.00";"2.80";".037";".098"
"task_R:context_R";"1 72";"0.00";"0.55";".008";".460"
"task_R:cocoa";"1 72";"0.00";"0.53";".007";".471"
"context_R:cocoa";"1 72";"0.00";"1.55";".021";".218"
"task_R:context_R:cocoa";"1 72";"0.00";"1.29";".018";".260"
