"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"task_R";"1 72";"13659.82";"122.09";".629";"<.001"
"context_R";"1 72";"2215.91";"15.33";".176";"<.001"
"cocoa";"1 72";"15157.58";"0.13";".002";".718"
"task_R:context_R";"1 72";"2270.84";"3.51";".046";".065"
"task_R:cocoa";"1 72";"3517.17";"0.90";".012";".346"
"context_R:cocoa";"1 72";"2364.37";"1.21";".017";".275"
"task_R:context_R:cocoa";"1 72";"2333.88";"0.75";".010";".388"
