"";"Estimate";"Std. Error";"z value";"OddRatio";"Pr(>|z|)"
"(Intercept)";-2,779;0,171;-16,236;0,062;"< .001"
"task_R1";0,403;0,177;2,273;1,497;"< .05"
"ANSWER_R1";-0,471;0,205;-2,301;0,624;"< .05"
"framecolor_R1";0,028;0,194;0,146;1,029;"0.884"
"cocoa300";-0,272;0,215;-1,268;0,762;"0.205"
"task_R1:ANSWER_R1";0,115;0,262;0,438;1,122;"0.662"
"task_R1:framecolor_R1";-0,053;0,247;-0,214;0,949;"0.83"
"ANSWER_R1:framecolor_R1";0,336;0,273;1,232;1,4;"0.218"
"task_R1:cocoa300";0,352;0,262;1,345;1,422;"0.179"
"ANSWER_R1:cocoa300";0,794;0,286;2,777;2,212;"< .01"
"framecolor_R1:cocoa300";0,617;0,279;2,214;1,853;"< .05"
"task_R1:ANSWER_R1:framecolor_R1";-0,222;0,358;-0,621;0,801;"0.535"
"task_R1:ANSWER_R1:cocoa300";-0,648;0,364;-1,78;0,523;"0.075"
"task_R1:framecolor_R1:cocoa300";-0,548;0,35;-1,565;0,578;"0.118"
"ANSWER_R1:framecolor_R1:cocoa300";-0,96;0,375;-2,56;0,383;"< .05"
"task_R1:ANSWER_R1:framecolor_R1:cocoa300";0,713;0,493;1,448;2,04;"0.148"
