"ANSWER_R";"0";"0";"0";"0";"1";"1";"1";"1"
"context_R";"0";"0";"1";"1";"0";"0";"1";"1"
"cocoa";"0";"300";"0";"300";"0";"300";"0";"300"
"meanmeanerror";"0.08471818";"0.07724799";"0.07950944";"0.08154706";"0.05600119";"0.06616597";"0.05658605";"0.05179325"
"n";"184";"184";"184";"184";"184";"184";"184";"184"
"se";"0.005945713";"0.005312330";"0.005528104";"0.005723459";"0.004162190";"0.004625362";"0.004613862";"0.004084102"
