"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"task";"1 91";"15599.31";"123.46";".58";"<.0001"
"resp";"1 91";"6984.45";"0.14";".002";".71"
"context";"1 91";"5535.75";"5.44";".06";".02"
"task x resp";"1 91";"7207.10";"1.09";".01";".30"
"task x context";"1 91";"5060.60";"0.85";".009";".36"
"resp x context";"1 91";"5543.70";"3.34";".04";".07"
"task x resp x context";"1 91";"4834.67";"0.48";".005";".49"
