Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
623;1590678835435;28/05/2020 15:13:55;1590678835312;-4;28/05/2020 11:13:55;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;157;138;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackbluehori.png;;;black;blue;hori;9;parity;0;1.0;41.0;156
624;1590678835668;28/05/2020 15:13:55;1590678835612;-4;28/05/2020 11:13:55;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;157;138;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackbluehori.png;;;black;blue;hori;9;parity;0;1.0;41.0;156
625;1590678836527;28/05/2020 15:13:56;1590678836451;-4;28/05/2020 11:13:56;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;157;138;4;Screen 4;Zone3;response_keyboard_single;834;;A;1;1;0;0;;;;;;trial;;;;;;blackbluehori.png;blackbluehori9.png;;;;A;vertLA.png;blackbluehori.png;;;black;blue;hori;9;parity;0;1.0;41.0;156
626;1590678837918;28/05/2020 15:13:57;1590678837850;-4;28/05/2020 11:13:57;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;158;139;1;Screen 1;fixation;fixation;1406;;;;0;1;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert8.png;;;;L;vertLA.png;blackbluevert.png;;;black;blue;vert;8;magnit;0;1.0;42.0;157
627;1590678838215;28/05/2020 15:13:58;1590678838150;-4;28/05/2020 11:13:58;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;158;139;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert8.png;;;;L;vertLA.png;blackbluevert.png;;;black;blue;vert;8;magnit;0;1.0;42.0;157
628;1590678838528;28/05/2020 15:13:58;1590678838450;-4;28/05/2020 11:13:58;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;158;139;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert8.png;;;;L;vertLA.png;blackbluevert.png;;;black;blue;vert;8;magnit;0;1.0;42.0;157
629;1590678839371;28/05/2020 15:13:59;1590678839300;-4;28/05/2020 11:13:59;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;158;139;4;Screen 4;Zone4;response_keyboard_single;844;;L;1;1;0;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert8.png;;;;L;vertLA.png;blackbluevert.png;;;black;blue;vert;8;magnit;0;1.0;42.0;157
630;1590678840747;28/05/2020 15:14:00;1590678840684;-4;28/05/2020 11:14:00;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;159;140;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;trial;;;;;;blackredhori.png;blackredhori9.png;;;;A;vertLA.png;blackredhori.png;;;black;red;hori;9;parity;0;1.0;43.0;158
631;1590678841059;28/05/2020 15:14:01;1590678840984;-4;28/05/2020 11:14:00;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;159;140;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredhori.png;blackredhori9.png;;;;A;vertLA.png;blackredhori.png;;;black;red;hori;9;parity;0;1.0;43.0;158
632;1590678841356;28/05/2020 15:14:01;1590678841285;-4;28/05/2020 11:14:01;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;159;140;3;Screen 3;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;trial;;;;;;blackredhori.png;blackredhori9.png;;;;A;vertLA.png;blackredhori.png;;;black;red;hori;9;parity;0;1.0;43.0;158
633;1590678842091;28/05/2020 15:14:02;1590678842020;-4;28/05/2020 11:14:02;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;159;140;4;Screen 4;Zone3;response_keyboard_single;729.0000000001164;;A;1;1;0;0;;;;;;trial;;;;;;blackredhori.png;blackredhori9.png;;;;A;vertLA.png;blackredhori.png;;;black;red;hori;9;parity;0;1.0;43.0;158
634;1590678843512;28/05/2020 15:14:03;1590678843426;-4;28/05/2020 11:14:03;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;160;141;1;Screen 1;fixation;fixation;1408;;;;0;1;0;;;;;;trial;;;;;;blackredvert.png;blackredvert4.png;;;;A;vertLA.png;blackredvert.png;;;black;red;vert;4;magnit;0;1.0;44.0;159
635;1590678843793;28/05/2020 15:14:03;1590678843726;-4;28/05/2020 11:14:03;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;160;141;2;Screen 2;advancementZone;timelimit_screen;299;;;;0;1;0;;;1;;;trial;;;;;;blackredvert.png;blackredvert4.png;;;;A;vertLA.png;blackredvert.png;;;black;red;vert;4;magnit;0;1.0;44.0;159
636;1590678844091;28/05/2020 15:14:04;1590678844027;-4;28/05/2020 11:14:04;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;160;141;3;Screen 3;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;trial;;;;;;blackredvert.png;blackredvert4.png;;;;A;vertLA.png;blackredvert.png;;;black;red;vert;4;magnit;0;1.0;44.0;159
