Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-7y1f;checkpoint-fqea;Question Key;Response
14;1591084280987;02/06/2020 07:51:20;1591084279421;2;02/06/2020 09:51:19;18755;2;questionnaire-89vf;;5268284;5a9bb11435237b0001129a35;1483735;;complete;;5ed5fde7cee909000a0ef06e;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1600x900;1586x805;after demographic;demographic;4;BRAC1_horiLL_1st300;after consent;after demographic;Task done;comment;
15;1591084280987;02/06/2020 07:51:20;1591084279421;2;02/06/2020 09:51:19;18755;2;questionnaire-89vf;;5268284;5a9bb11435237b0001129a35;1483735;;complete;;5ed5fde7cee909000a0ef06e;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1600x900;1586x805;after demographic;demographic;4;BRAC1_horiLL_1st300;after consent;after demographic;Task done;END QUESTIONNAIRE;40868
1;1591104156430;02/06/2020 13:22:36;1591104156367;1;02/06/2020 14:22:36;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1920x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;BEGIN QUESTIONNAIRE;
2;1591104181418;02/06/2020 13:23:01;1591104181410;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;sex;female
3;1591104181559;02/06/2020 13:23:01;1591104181412;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;sex-quantised;2
4;1591104181559;02/06/2020 13:23:01;1591104181412;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;age;21
5;1591104181559;02/06/2020 13:23:01;1591104181412;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;response-2;right-handed
6;1591104181559;02/06/2020 13:23:01;1591104181412;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;response-2-quantised;1
7;1591104181559;02/06/2020 13:23:01;1591104181413;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;response-2-text;
8;1591104181559;02/06/2020 13:23:01;1591104181413;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;response-3;Portuguese
9;1591104181559;02/06/2020 13:23:01;1591104181413;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;country;Portugal
10;1591104181559;02/06/2020 13:23:01;1591104181413;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;education;Bachelor degree
11;1591104181559;02/06/2020 13:23:01;1591104181413;1;02/06/2020 14:23:01;18755;2;questionnaire-89vf;;5273670;5e29b969130e4e000ca807eb;1485101;;complete;;5ed64cc8797eed0458d12dad;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after demographic;Task done;education-quantised;5
