"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"5896f9951a06b50001a7ff12";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s300";"you can eliminate this one to balance mappings";"did 47 errors";"22";"male";"Spain";"Bachelor degree";"right-handed";"Spanish";"Not at all";NA
"5a622b2d13898300014b20d6";0;"BRAC1_vertLL_1st300";"";NA;NA;"27";"female";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"5a9bb11435237b0001129a35";0;"BRAC1_horiLL_1st300";NA;"";NA;"21";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"5b1fc3ae325d600001c03dcb";0;"BRAC1_horiAA_1st300";"They had mapping horiAA_1s301";"";"did 44 errors";"27";"male";"England";"Bachelor degree";"right-handed";"English";"Not at all";NA
"5babd4285f26f10001b17c60";0;"BRAC1_horiAA_1st0";"";NA;NA;"32";"female";"Spain";"Bachelor degree";"right-handed";"Spanish";"Not at all";""
"5c02a0089649f9000153798b";0;"BRAC1_vertAA_1st0";NA;"";"did 64 errors";"23";"male";"Hungary";"Bachelor degree";"right-handed";"Hungary";"Not at all";""
"5c555762dab99000015b8f12";0;"BRAC1_horiLL_1st300";"saw cue for 316 ms 432 times; saw fixation for 1416 ms for 175 times; probably refresh rate issue";NA;"did 57 errors";"26";"female";"United Kingdom";"Master degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";""
"5c55c7cb9b583c000159f790";1;"BRAC1_vertLA_1st300";NA;"";"for making did 225 errors";"25";"female";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"5c636850bad3560001c2749e";0;"BRAC1_vertLL_1st300";"";NA;NA;"";"male";"Estonia";"Some university/higher education but no degree";"right-handed";"";"Not at all";""
"5c90f5eae2d9fb0011385c58";0;"BRAC1_horiLL_1st0";"";NA;NA;"23";"female";"Estonia";"Bachelor degree";"right-handed";"Estonian";"Not at all";""
