"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"5e4bacb7baa0ee0b3101fa4c";"0";"BRAC2_horiAA_1st0";"";"";"";"31";"male";"The Netherlands";"Bachelor degree";"left-handed";"Dutch";"Some knowledge as amateur";"As I progressed, less thinking was required"
"5e569011c0486f03a51801b5";"0";"BRAC2_horiAA_1st300";"";"";"";"19";"male";"Poland";"High school diploma";"right-handed";"Polish";"Some knowledge as amateur";"After 2nd block it got kinda relaxing :P"
"5e74d33de889080242f860b0";"0";"BRAC2_horiLL_1st300";"";"";"";"20";"female";"england ";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"5e95f879f4d19b04d6187052";"0";"BRAC2_vertLA_1st300";"";"";"";"34";"male";"Poland";"Bachelor degree";"right-handed";"Polish";"Some knowledge as amateur";""
"5e9ebfcf02c3d3000a940963";"0";"BRAC2_vertAL_1st0";"";"";"";"23";"female";"United Kingdom";"Bachelor degree";"right-handed";"English";"Some knowledge as amateur";""
"5ea016cdd47f5e01dc33859d";"0";"BRAC2_vertAL_1st0";"";"";"";"21";"female";"Norway";"Some high school but no diploma";"right-handed";"Norwegian";"Some knowledge as amateur";""
"5ea96335f1853407044dfc36";"0";"BRAC2_horiLL_1st0";"";"";"";"20";"male";"Portugal";"Some university/higher education but no degree";"right-handed";"Portuguese";"Not at all";""
"5eac2efe4efbe80621541711";"0";"BRAC2_vertLL_1st0";"";"";"";"33";"male";"United Kingdom";"Master degree";"right-handed";"English";"Not at all";""
"5eac911e8fdf2d3021221f6a";"0";"BRAC2_vertAA_1st300";"";"";"";"19";"male";"Canada";"Some university/higher education but no degree";"right-handed";"English";"Some knowledge as amateur";""
"5eb007e02532f204e973c83c";"0";"BRAC2_horiLL_1st0";"";"has had 2 weird fixations durations;";"did 40 errors;";"18";"female";"United Kingdom";"High school diploma";"right-handed";"English";"Not at all";""
