"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanerror";"n";"se"
"13";"0";"0";"1";"0";21;"m";"lab";0;36;0
"13";"0";"0";"1";"300";21;"m";"lab";0,0294117647058824;34;0,0294117647058824
"13";"0";"1";"0";"0";21;"m";"lab";0,0204081632653061;49;0,0204081632653061
"13";"0";"1";"0";"300";21;"m";"lab";0,0185185185185185;54;0,0185185185185185
"13";"0";"1";"1";"0";21;"m";"lab";0;65;0
"13";"0";"1";"1";"300";21;"m";"lab";0;52;0
"13";"1";"0";"0";"0";21;"m";"lab";0,0625;48;0,035308292679127
"13";"1";"0";"0";"300";21;"m";"lab";0,0377358490566038;53;0,0264254592975807
"13";"1";"0";"1";"0";21;"m";"lab";0,0638297872340425;47;0,0360421086748902
"13";"1";"0";"1";"300";21;"m";"lab";0,0392156862745098;51;0,0274509803921569
"13";"1";"1";"0";"0";21;"m";"lab";0,0208333333333333;48;0,0208333333333333
"13";"1";"1";"0";"300";21;"m";"lab";0,024390243902439;41;0,024390243902439
"13";"1";"1";"1";"0";21;"m";"lab";0;47;0
"13";"1";"1";"1";"300";21;"m";"lab";0;48;0
"14";"0";"0";"0";"0";22;"f";"lab";0,0487804878048781;41;0,034059122057973
"14";"0";"0";"0";"300";22;"f";"lab";0,025;40;0,025
"14";"0";"0";"1";"0";22;"f";"lab";0,024390243902439;41;0,024390243902439
"14";"0";"0";"1";"300";22;"f";"lab";0;35;0
"14";"0";"1";"0";"0";22;"f";"lab";0,0175438596491228;57;0,0175438596491228
"14";"0";"1";"0";"300";22;"f";"lab";0,0158730158730159;63;0,0158730158730159
"14";"0";"1";"1";"0";22;"f";"lab";0;64;0
"14";"0";"1";"1";"300";22;"f";"lab";0,0204081632653061;49;0,0204081632653061
"14";"1";"0";"0";"0";22;"f";"lab";0,0408163265306122;49;0,028559278271678
"14";"1";"0";"0";"300";22;"f";"lab";0,0588235294117647;51;0,0332756132323081
"14";"1";"0";"1";"0";22;"f";"lab";0,0612244897959184;49;0,0346037244037003
"14";"1";"0";"1";"300";22;"f";"lab";0,0740740740740741;54;0,0359735504576765
"14";"1";"1";"0";"0";22;"f";"lab";0;38;0
"14";"1";"1";"0";"300";22;"f";"lab";0,0227272727272727;44;0,0227272727272727
"14";"1";"1";"1";"0";22;"f";"lab";0;41;0
"14";"1";"1";"1";"300";22;"f";"lab";0,0454545454545455;44;0,031765283723714
"15";"0";"0";"0";"0";25;"m";"lab";0,0689655172413793;29;0,0478872465399596
"15";"0";"0";"0";"300";25;"m";"lab";0,0540540540540541;37;0,037687388582616
"15";"0";"0";"1";"0";25;"m";"lab";0;39;0
"15";"0";"0";"1";"300";25;"m";"lab";0,0476190476190476;42;0,0332585855128371
"15";"0";"1";"0";"0";25;"m";"lab";0;61;0
"15";"0";"1";"0";"300";25;"m";"lab";0,0576923076923077;52;0,0326490264471987
"15";"0";"1";"1";"0";25;"m";"lab";0,0784313725490196;51;0,0380210184895398
"15";"0";"1";"1";"300";25;"m";"lab";0,1;60;0,0390566732942472
"15";"1";"0";"0";"0";25;"m";"lab";0,0350877192982456;57;0,0245882416921661
"15";"1";"0";"0";"300";25;"m";"lab";0,0576923076923077;52;0,0326490264471987
"15";"1";"0";"1";"0";25;"m";"lab";0,0434782608695652;46;0,0304002564687
"15";"1";"0";"1";"300";25;"m";"lab";0,111111111111111;54;0,0431682605492117
"15";"1";"1";"0";"0";25;"m";"lab";0,107142857142857;56;0,0417053005800816
"15";"1";"1";"0";"300";25;"m";"lab";0,06;50;0,0339266916772512
"15";"1";"1";"1";"0";25;"m";"lab";0,0975609756097561;41;0,0469155708821252
"15";"1";"1";"1";"300";25;"m";"lab";0,0606060606060606;33;0,0421800330517426
"16";"0";"0";"0";"0";22;"f";"lab";0,186046511627907;43;0,0600462534295724
"16";"0";"0";"0";"300";22;"f";"lab";0,0588235294117647;51;0,0332756132323081
"16";"0";"0";"1";"0";22;"f";"lab";0,0571428571428571;35;0,0398074597725278
"16";"0";"0";"1";"300";22;"f";"lab";0,175;40;0,0608434308444476
"16";"0";"1";"0";"0";22;"f";"lab";0,0727272727272727;55;0,0353391023930018
"16";"0";"1";"0";"300";22;"f";"lab";0,0588235294117647;51;0,0332756132323081
"16";"0";"1";"1";"0";22;"f";"lab";0,1;50;0,0428571428571429
"16";"0";"1";"1";"300";22;"f";"lab";0,0943396226415094;53;0,0405348041909113
"16";"1";"0";"0";"0";22;"f";"lab";0,186046511627907;43;0,0600462534295724
"16";"1";"0";"0";"300";22;"f";"lab";0,264705882352941;34;0,0767989658628079
"16";"1";"0";"1";"0";22;"f";"lab";0,137254901960784;51;0,048665386847023
"16";"1";"0";"1";"300";22;"f";"lab";0,204081632653061;49;0,0581722155662825
"16";"1";"1";"0";"0";22;"f";"lab";0,111111111111111;54;0,0431682605492117
"16";"1";"1";"0";"300";22;"f";"lab";0,0277777777777778;36;0,0277777777777778
"16";"1";"1";"1";"0";22;"f";"lab";0,142857142857143;49;0,0505076272276105
"16";"1";"1";"1";"300";22;"f";"lab";0,121212121212121;66;0,040481665913459
"17";"0";"0";"0";"0";29;"f";"lab";0;38;0
"17";"0";"0";"0";"300";29;"f";"lab";0,02;50;0,02
"17";"0";"0";"1";"0";29;"f";"lab";0,0227272727272727;44;0,0227272727272727
"17";"0";"0";"1";"300";29;"f";"lab";0;42;0
"17";"0";"1";"0";"0";29;"f";"lab";0,0166666666666667;60;0,0166666666666667
"17";"0";"1";"0";"300";29;"f";"lab";0,0652173913043478;46;0,0368070292730443
"17";"0";"1";"1";"0";29;"f";"lab";0,0416666666666667;48;0,029147663515556
"17";"0";"1";"1";"300";29;"f";"lab";0,05;60;0,0283740153267512
"17";"1";"0";"0";"0";29;"f";"lab";0,0232558139534884;43;0,0232558139534884
"17";"1";"0";"0";"300";29;"f";"lab";0;54;0
"17";"1";"0";"1";"0";29;"f";"lab";0,0204081632653061;49;0,0204081632653061
"17";"1";"0";"1";"300";29;"f";"lab";0,0294117647058824;34;0,0294117647058824
"17";"1";"1";"0";"0";29;"f";"lab";0,0178571428571429;56;0,0178571428571429
"17";"1";"1";"0";"300";29;"f";"lab";0;44;0
"17";"1";"1";"1";"0";29;"f";"lab";0;42;0
"17";"1";"1";"1";"300";29;"f";"lab";0;50;0
"18";"0";"0";"0";"0";19;"f";"lab";0,0612244897959184;49;0,0346037244037003
"18";"0";"0";"0";"300";19;"f";"lab";0,02;50;0,02
"18";"0";"0";"1";"0";19;"f";"lab";0,02;50;0,02
"18";"0";"0";"1";"300";19;"f";"lab";0,0731707317073171;41;0,0411754707710589
"18";"0";"1";"0";"0";19;"f";"lab";0,06;50;0,0339266916772512
"18";"0";"1";"0";"300";19;"f";"lab";0,0232558139534884;43;0,0232558139534884
"18";"0";"1";"1";"0";19;"f";"lab";0,02;50;0,02
"18";"0";"1";"1";"300";19;"f";"lab";0,0638297872340425;47;0,0360421086748902
"18";"1";"0";"0";"0";19;"f";"lab";0,0357142857142857;56;0,025023180348049
"18";"1";"0";"0";"300";19;"f";"lab";0,06;50;0,0339266916772512
"18";"1";"0";"1";"0";19;"f";"lab";0,108695652173913;46;0,0463994509958902
"18";"1";"0";"1";"300";19;"f";"lab";0,104166666666667;48;0,0445583462158785
"18";"1";"1";"0";"0";19;"f";"lab";0,0204081632653061;49;0,0204081632653061
"18";"1";"1";"0";"300";19;"f";"lab";0,0217391304347826;46;0,0217391304347826
"18";"1";"1";"1";"0";19;"f";"lab";0,0333333333333333;30;0,0333333333333333
"18";"1";"1";"1";"300";19;"f";"lab";0,109090909090909;55;0,0424242424242424
"19";"0";"0";"0";"0";22;"m";"lab";0;47;0
"19";"0";"0";"0";"300";22;"m";"lab";0;39;0
"19";"0";"0";"1";"0";22;"m";"lab";0;38;0
"19";"0";"0";"1";"300";22;"m";"lab";0,0227272727272727;44;0,0227272727272727
"19";"0";"1";"0";"0";22;"m";"lab";0;59;0
"19";"0";"1";"0";"300";22;"m";"lab";0;45;0
"19";"0";"1";"1";"0";22;"m";"lab";0,0350877192982456;57;0,0245882416921661
"19";"0";"1";"1";"300";22;"m";"lab";0;55;0
"19";"1";"0";"0";"0";22;"m";"lab";0,0454545454545455;44;0,031765283723714
"19";"1";"0";"0";"300";22;"m";"lab";0,025;40;0,025
"19";"1";"0";"1";"0";22;"m";"lab";0,0909090909090909;44;0,0438402565609466
"19";"1";"0";"1";"300";22;"m";"lab";0,0208333333333333;48;0,0208333333333333
"19";"1";"1";"0";"0";22;"m";"lab";0,0196078431372549;51;0,0196078431372549
"19";"1";"1";"0";"300";22;"m";"lab";0;58;0
"19";"1";"1";"1";"0";22;"m";"lab";0;40;0
"19";"1";"1";"1";"300";22;"m";"lab";0,0784313725490196;51;0,0380210184895398
"2";"0";"0";"0";"0";19;"f";"lab";0,0476190476190476;42;0,0332585855128371
"2";"0";"0";"0";"300";19;"f";"lab";0,0638297872340425;47;0,0360421086748902
"2";"0";"0";"1";"0";19;"f";"lab";0,0408163265306122;49;0,028559278271678
"2";"0";"0";"1";"300";19;"f";"lab";0,0434782608695652;46;0,0304002564687
"2";"0";"1";"0";"0";19;"f";"lab";0,0178571428571429;56;0,0178571428571429
"2";"0";"1";"0";"300";19;"f";"lab";0,0961538461538462;52;0,0412805523275076
"2";"0";"1";"1";"0";19;"f";"lab";0,0851063829787234;47;0,0411421941867476
"2";"0";"1";"1";"300";19;"f";"lab";0,0727272727272727;55;0,0353391023930018
"2";"1";"0";"0";"0";19;"f";"lab";0,0930232558139535;43;0,0448197261236945
"2";"1";"0";"0";"300";19;"f";"lab";0,133333333333333;45;0,0512470743190538
"2";"1";"0";"1";"0";19;"f";"lab";0,134615384615385;52;0,0477932809372797
"2";"1";"0";"1";"300";19;"f";"lab";0,0487804878048781;41;0,034059122057973
"2";"1";"1";"0";"0";19;"f";"lab";0,0666666666666667;45;0,0376050716545177
"2";"1";"1";"0";"300";19;"f";"lab";0,128205128205128;39;0,0542335527595415
"2";"1";"1";"1";"0";19;"f";"lab";0,0217391304347826;46;0,0217391304347826
"2";"1";"1";"1";"300";19;"f";"lab";0,0545454545454545;55;0,030903148567229
"20";"0";"0";"0";"0";26;"f";"lab";0;46;0
"20";"0";"0";"0";"300";26;"f";"lab";0;38;0
"20";"0";"0";"1";"0";26;"f";"lab";0;47;0
"20";"0";"0";"1";"300";26;"f";"lab";0;37;0
"20";"0";"1";"0";"0";26;"f";"lab";0;55;0
"20";"0";"1";"0";"300";26;"f";"lab";0;60;0
