"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanrt";"n";"se"
"13";"0";"0";"1";"300";21;"m";"lab";662,570866671475;33;36,3786197554575
"13";"0";"1";"0";"0";21;"m";"lab";721,562644268604;47;50,0536307781561
"13";"0";"1";"0";"300";21;"m";"lab";600,928402864016;52;27,360936913415
"13";"0";"1";"1";"0";21;"m";"lab";777,699145059737;63;42,4529631179964
"13";"0";"1";"1";"300";21;"m";"lab";634,559310212427;49;32,2847903228207
"13";"1";"0";"0";"0";21;"m";"lab";897,283209694757;45;60,5258054043091
"13";"1";"0";"0";"300";21;"m";"lab";743,547654619404;51;38,6703547442446
"13";"1";"0";"1";"0";21;"m";"lab";995,823045109594;43;68,6568437063438
"13";"1";"0";"1";"300";21;"m";"lab";740,926633278529;48;45,8873534118548
"13";"1";"1";"0";"0";21;"m";"lab";775,287283227799;47;56,0672877047161
"13";"1";"1";"0";"300";21;"m";"lab";673,155301809311;40;43,0412437802843
"13";"1";"1";"1";"0";21;"m";"lab";784,784766130669;43;56,0830652488561
"13";"1";"1";"1";"300";21;"m";"lab";706,56098490176;46;46,8077576521847
"14";"0";"0";"0";"0";22;"f";"lab";575,501962711937;38;19,5232098072907
"14";"0";"0";"0";"300";22;"f";"lab";601,382216891727;37;25,6238794227345
"14";"0";"0";"1";"0";22;"f";"lab";629,376668196458;39;41,9151315642911
"14";"0";"0";"1";"300";22;"f";"lab";646,043330430984;32;45,0818997755377
"14";"0";"1";"0";"0";22;"f";"lab";624,182904850353;55;28,9362201416163
"14";"0";"1";"0";"300";22;"f";"lab";652,538664879337;62;27,6006610188793
"14";"0";"1";"1";"0";22;"f";"lab";625,497484207153;60;22,9288327137253
"14";"0";"1";"1";"300";22;"f";"lab";612,558417850071;45;23,4258839298799
"14";"1";"0";"0";"0";22;"f";"lab";713,394361993541;46;40,4308685992927
"14";"1";"0";"0";"300";22;"f";"lab";699,329043428103;48;34,5883603079657
"14";"1";"0";"1";"0";22;"f";"lab";645,051251517402;45;29,0311480359949
"14";"1";"0";"1";"300";22;"f";"lab";779,504999518394;48;44,056513031199
"14";"1";"1";"0";"0";22;"f";"lab";683,11083316803;38;48,5209301463105
"14";"1";"1";"0";"300";22;"f";"lab";679,952326275054;42;32,2524872289928
"14";"1";"1";"1";"0";22;"f";"lab";631,737668339799;41;21,0191879025526
"14";"1";"1";"1";"300";22;"f";"lab";836,700741837664;41;63,1839273270022
"15";"0";"0";"0";"0";25;"m";"lab";503,360218471951;27;24,5550972298815
"15";"0";"0";"0";"300";25;"m";"lab";497,393571969235;33;28,1558410460828
"15";"0";"0";"1";"0";25;"m";"lab";569,947611201893;33;39,8220124084735
"15";"0";"0";"1";"300";25;"m";"lab";524,000876658672;37;30,4960892176315
"15";"0";"1";"0";"0";25;"m";"lab";535,999007144217;59;26,0476719694759
"15";"0";"1";"0";"300";25;"m";"lab";532,166515787442;48;32,4066163556825
"15";"0";"1";"1";"0";25;"m";"lab";536,097635393557;46;37,0175582049123
"15";"0";"1";"1";"300";25;"m";"lab";532,603312511833;49;33,6701062183338
"15";"1";"0";"0";"0";25;"m";"lab";753,297190666199;50;56,7739858102091
"15";"1";"0";"0";"300";25;"m";"lab";748,111814922757;45;63,3658045118449
"15";"1";"0";"1";"0";25;"m";"lab";738,822346641903;42;66,5413313118238
"15";"1";"0";"1";"300";25;"m";"lab";782,815981994976;44;57,9150243779427
"15";"1";"1";"0";"0";25;"m";"lab";678,354014952978;48;52,3238057615329
"15";"1";"1";"0";"300";25;"m";"lab";798,02363851796;46;71,5857064842724
"15";"1";"1";"1";"0";25;"m";"lab";792,817640304566;35;80,3969141918848
"15";"1";"1";"1";"300";25;"m";"lab";671,846408110399;26;78,7239552160673
"16";"0";"0";"0";"0";22;"f";"lab";598,892857046688;34;40,2874573887312
"16";"0";"0";"0";"300";22;"f";"lab";709,205011042153;41;55,3051148567381
"16";"0";"0";"1";"0";22;"f";"lab";597,269527117411;30;32,6675885302192
"16";"0";"0";"1";"300";22;"f";"lab";772,081984413994;27;88,4315500856081
"16";"0";"1";"0";"0";22;"f";"lab";616,889974806044;45;56,9742044157898
"16";"0";"1";"0";"300";22;"f";"lab";656,186239285903;44;56,4789594529168
"16";"0";"1";"1";"0";22;"f";"lab";612,895610855847;41;42,6650920612601
"16";"0";"1";"1";"300";22;"f";"lab";765,389574898614;45;60,5273447830816
"16";"1";"0";"0";"0";22;"f";"lab";648,281927766471;29;64,1834647706413
"16";"1";"0";"0";"300";22;"f";"lab";734,175237742337;22;72,9348171912914
"16";"1";"0";"1";"0";22;"f";"lab";657,21515062693;37;47,9616464622458
"16";"1";"0";"1";"300";22;"f";"lab";774,912834167481;33;78,9027484225854
"16";"1";"1";"0";"0";22;"f";"lab";761,321102700582;41;54,3805459734928
"16";"1";"1";"0";"300";22;"f";"lab";873,211924235027;30;92,3121274024112
"16";"1";"1";"1";"0";22;"f";"lab";703,552193111844;36;59,3156445858232
