Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
3;1590421549441;25/05/2020 15:45:49;1590421547034;2;25/05/2020 17:45:47;17308;16;questionnaire-ppea;;5132679;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x706;after demographic;DataConsent;2;BRAC1_vertAA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;3856
1;1590493947488;26/05/2020 11:52:27;1590493947429;2;26/05/2020 13:52:27;17308;16;questionnaire-ppea;;5141413;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;DataConsent;2;BRAC1_horiAL_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590493953802;26/05/2020 11:52:33;1590493953769;2;26/05/2020 13:52:33;17308;16;questionnaire-ppea;;5141413;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;DataConsent;2;BRAC1_horiAL_1st0;after consent;after task;after demographic;datatConsent;1
3;1590493953864;26/05/2020 11:52:33;1590493953770;2;26/05/2020 13:52:33;17308;16;questionnaire-ppea;;5141413;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;DataConsent;2;BRAC1_horiAL_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;6341
1;1590505457673;26/05/2020 15:04:17;1590505455217;2;26/05/2020 17:04:15;17308;16;questionnaire-ppea;;5144568;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;DataConsent;2;BRAC1_vertLA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590505461240;26/05/2020 15:04:21;1590505458811;2;26/05/2020 17:04:18;17308;16;questionnaire-ppea;;5144568;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;DataConsent;2;BRAC1_vertLA_1st300;after consent;after task;after demographic;datatConsent;1
3;1590505461334;26/05/2020 15:04:21;1590505458816;2;26/05/2020 17:04:18;17308;16;questionnaire-ppea;;5144568;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;DataConsent;2;BRAC1_vertLA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;3599
1;1590509915694;26/05/2020 16:18:35;1590509914808;2;26/05/2020 18:18:34;17308;16;questionnaire-ppea;;5145715;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;DataConsent;2;BRAC1_horiAA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590509998637;26/05/2020 16:19:58;1590509997650;2;26/05/2020 18:19:57;17308;16;questionnaire-ppea;;5145715;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;DataConsent;2;BRAC1_horiAA_1st300;after consent;after task;after demographic;datatConsent;1
3;1590509998765;26/05/2020 16:19:58;1590509997655;2;26/05/2020 18:19:57;17308;16;questionnaire-ppea;;5145715;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;DataConsent;2;BRAC1_horiAA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;82847
1;1590510362653;26/05/2020 16:26:02;1590510362573;2;26/05/2020 18:26:02;17308;16;questionnaire-ppea;;5145779;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;DataConsent;2;BRAC1_horiLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590510367620;26/05/2020 16:26:07;1590510367449;2;26/05/2020 18:26:07;17308;16;questionnaire-ppea;;5145779;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;DataConsent;2;BRAC1_horiLA_1st0;after consent;after task;after demographic;datatConsent;1
3;1590510367698;26/05/2020 16:26:07;1590510367451;2;26/05/2020 18:26:07;17308;16;questionnaire-ppea;;5145779;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;DataConsent;2;BRAC1_horiLA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;4878
1;1590513132683;26/05/2020 17:12:12;1590513129559;2;26/05/2020 19:12:09;17308;16;questionnaire-ppea;;5146284;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1280x578;after demographic;DataConsent;2;BRAC1_vertAA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590513143194;26/05/2020 17:12:23;1590513139725;2;26/05/2020 19:12:19;17308;16;questionnaire-ppea;;5146284;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;DataConsent;2;BRAC1_vertAA_1st0;after consent;after task;after demographic;datatConsent;1
3;1590513143413;26/05/2020 17:12:23;1590513139730;2;26/05/2020 19:12:19;17308;16;questionnaire-ppea;;5146284;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;DataConsent;2;BRAC1_vertAA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;10171
END OF FILE
