Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
15;1590004986178;20/05/2020 20:03:06;1590004986068;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;46191
1;1590495724982;26/05/2020 12:22:04;1590495724879;2;26/05/2020 14:22:04;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590495785785;26/05/2020 12:23:05;1590495785645;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;sex;female
3;1590495785879;26/05/2020 12:23:05;1590495785646;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;sex-quantised;2
4;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;age;18
5;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;response-2;right-handed
6;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;response-2-quantised;1
7;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;response-2-text;
8;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;60768
9;1590495785879;26/05/2020 12:23:05;1590495785647;2;26/05/2020 14:23:05;17308;16;questionnaire-89vf;;5141890;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;demographic;4;BRAC1_horiAL_1st0;after consent;after task;after demographic;country;Germany
