Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
3;1590509913535;26/05/2020 16:18:33;1590509912330;2;26/05/2020 18:18:32;17308;16;questionnaire-jskt;;5145691;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;StartAndConsent;7;BRAC1_horiAA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;161256
1;1590505403015;26/05/2020 15:03:23;1590505400557;2;26/05/2020 17:03:20;17308;16;questionnaire-jskt;;5144555;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;StartAndConsent;7;BRAC1_vertLA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590505454855;26/05/2020 15:04:14;1590505452450;2;26/05/2020 17:04:12;17308;16;questionnaire-jskt;;5144555;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;StartAndConsent;7;BRAC1_vertLA_1st300;after consent;after task;after demographic;ConsentFlag;1
3;1590505454934;26/05/2020 15:04:14;1590505452455;2;26/05/2020 17:04:12;17308;16;questionnaire-jskt;;5144555;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1263x610;after demographic;StartAndConsent;7;BRAC1_vertLA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;51899
1;1590335448057;24/05/2020 15:50:48;1590335447443;2;24/05/2020 17:50:47;17308;16;questionnaire-jskt;;5113230;TO3;1388449;;complete;foxhgd;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1440x837;after demographic;StartAndConsent;7;BRAC1_vertLL_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590335459005;24/05/2020 15:50:59;1590335458455;2;24/05/2020 17:50:58;17308;16;questionnaire-jskt;;5113230;TO3;1388449;;complete;foxhgd;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1440x837;after demographic;StartAndConsent;7;BRAC1_vertLL_1st300;after consent;after task;after demographic;ConsentFlag;1
3;1590335459084;24/05/2020 15:50:59;1590335458456;2;24/05/2020 17:50:58;17308;16;questionnaire-jskt;;5113230;TO3;1388449;;complete;foxhgd;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1440x837;after demographic;StartAndConsent;7;BRAC1_vertLL_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;11013
1;1590067864702;21/05/2020 13:31:04;1590067863842;2;21/05/2020 15:31:03;17308;16;questionnaire-jskt;;5063391;LY8;1388445;;complete;nutmdb;;computer;Desktop or Laptop;Mac OS 10.15.4;Chrome 81.0.4044.138;1280x800;1260x638;after demographic;StartAndConsent;7;BRAC1_horiAA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590067879596;21/05/2020 13:31:19;1590067878781;2;21/05/2020 15:31:18;17308;16;questionnaire-jskt;;5063391;LY8;1388445;;complete;nutmdb;;computer;Desktop or Laptop;Mac OS 10.15.4;Chrome 81.0.4044.138;1280x800;1260x638;after demographic;StartAndConsent;7;BRAC1_horiAA_1st0;after consent;after task;after demographic;ConsentFlag;1
3;1590067879674;21/05/2020 13:31:19;1590067878783;2;21/05/2020 15:31:18;17308;16;questionnaire-jskt;;5063391;LY8;1388445;;complete;nutmdb;;computer;Desktop or Laptop;Mac OS 10.15.4;Chrome 81.0.4044.138;1280x800;1260x638;after demographic;StartAndConsent;7;BRAC1_horiAA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;14941
1;1590048509762;21/05/2020 08:08:29;1590048510684;2;21/05/2020 10:08:30;17308;16;questionnaire-jskt;;5057754;YF1;1388446;;complete;sgjbim;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x754;after demographic;StartAndConsent;7;BRAC1_horiLA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590048630235;21/05/2020 08:10:30;1590048631214;2;21/05/2020 10:10:31;17308;16;questionnaire-jskt;;5057754;YF1;1388446;;complete;sgjbim;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;after demographic;StartAndConsent;7;BRAC1_horiLA_1st300;after consent;after task;after demographic;ConsentFlag;1
3;1590048630344;21/05/2020 08:10:30;1590048631216;2;21/05/2020 10:10:31;17308;16;questionnaire-jskt;;5057754;YF1;1388446;;complete;sgjbim;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;after demographic;StartAndConsent;7;BRAC1_horiLA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;120532
1;1590003384275;20/05/2020 19:36:24;1590003384184;2;20/05/2020 21:36:24;17308;16;questionnaire-jskt;;5053528;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1083x814;after demographic;StartAndConsent;7;BRAC1_vertLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590003496824;20/05/2020 19:38:16;1590003496658;2;20/05/2020 21:38:16;17308;16;questionnaire-jskt;;5053528;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;StartAndConsent;7;BRAC1_vertLA_1st0;after consent;after task;after demographic;ConsentFlag;1
3;1590003496903;20/05/2020 19:38:16;1590003496662;2;20/05/2020 21:38:16;17308;16;questionnaire-jskt;;5053528;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;StartAndConsent;7;BRAC1_vertLA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;112478
END OF FILE
