"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"PJ6";"BRAC2_vertAA_1st300";0;58;1151,59999999742;"A";1;0;NA;"A";"black";"blue";"parity";3;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;59;488,17499999865;"L";1;0;NA;"L";"black";"red";"parity";2;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;60;562,22500000149;"L";1;0;NA;"L";"black";"blue";"magnit";4;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;61;521,565000002738;"L";1;0;NA;"L";"black";"red";"magnit";1;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;62;718,704999999376;"A";1;0;NA;"A";"black";"red";"parity";7;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;63;647,430000004591;"A";1;0;NA;"A";"black";"red";"magnit";8;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;64;550,974999998347;"L";1;0;NA;"L";"black";"blue";"magnit";1;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;65;506,554999999935;"L";1;0;NA;"L";"black";"red";"parity";6;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;66;452,599999996834;"L";1;0;NA;"L";"black";"red";"magnit";4;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;67;482,865000005346;"L";1;1;NA;"A";"black";"blue";"magnit";6;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;68;546,320000001229;"A";1;0;NA;"A";"black";"red";"parity";3;300;"MacOs";"Chrome";"1440x697";1;0;1;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;69;499,945000003208;"L";1;1;NA;"A";"black";"blue";"parity";1;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;70;753,470000003348;"L";1;0;NA;"L";"black";"red";"magnit";3;300;"MacOs";"Chrome";"1440x697";1;1;1;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;71;500,615000004531;"A";1;0;NA;"A";"black";"red";"parity";7;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;72;931,08499999647;"A";1;0;NA;"A";"black";"blue";"magnit";6;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;73;560,034999995027;"L";1;0;NA;"L";"black";"red";"magnit";3;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;74;632,369999999297;"L";1;0;NA;"L";"black";"red";"parity";2;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;75;751,440000000061;"L";1;1;NA;"A";"black";"red";"parity";7;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;76;728,069999997388;"A";1;0;NA;"A";"black";"red";"parity";9;300;"MacOs";"Chrome";"1440x697";0;0;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;77;621,740000002319;"A";1;0;NA;"A";"black";"red";"magnit";6;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;78;973,489999996731;"A";1;1;NA;"L";"black";"blue";"magnit";1;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;79;960,464999996475;"L";1;0;NA;"L";"black";"blue";"parity";2;300;"MacOs";"Chrome";"1440x697";1;0;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;80;633,045000002254;"L";1;0;NA;"L";"black";"blue";"parity";8;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;81;466,710000000661;"A";1;1;NA;"L";"black";"red";"magnit";1;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;82;480,015000001062;"L";1;0;NA;"L";"black";"red";"magnit";2;300;"MacOs";"Chrome";"1440x697";0;0;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;83;634,319999997504;"L";1;1;NA;"A";"black";"red";"magnit";9;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;84;485,325000001583;"L";1;0;NA;"L";"black";"red";"parity";2;300;"MacOs";"Chrome";"1440x697";1;1;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;85;597,509999999544;"A";1;0;NA;"A";"black";"red";"parity";1;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;86;846,72999999742;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;87;873,980000003939;"L";1;0;NA;"L";"black";"red";"magnit";3;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;88;406,164999993052;"L";1;0;NA;"L";"black";"red";"magnit";4;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;89;530,384999998263;"A";1;0;NA;"A";"black";"blue";"magnit";8;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;90;661,054999996792;"A";1;0;NA;"A";"black";"blue";"parity";1;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;91;440,030000005267;"L";1;0;NA;"L";"black";"red";"magnit";4;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;92;710,790000004694;"A";1;1;NA;"L";"black";"blue";"parity";6;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;93;501,785000000382;"L";1;0;NA;"L";"black";"blue";"magnit";4;300;"MacOs";"Chrome";"1440x697";1;0;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;94;781,634999999427;"L";1;0;NA;"L";"black";"red";"magnit";2;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;95;479,625;"L";1;0;NA;"L";"black";"blue";"magnit";3;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
