Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
1;1591261668579;04/06/2020 09:07:48;1591261671915;2;04/06/2020 11:07:51;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1920x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1591261709752;04/06/2020 09:08:29;1591261713180;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;sex;male
3;1591261709862;04/06/2020 09:08:29;1591261713182;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;sex-quantised;1
4;1591261709862;04/06/2020 09:08:29;1591261713182;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;age;20
5;1591261709862;04/06/2020 09:08:29;1591261713182;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;response-2;right-handed
6;1591261709862;04/06/2020 09:08:29;1591261713182;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;response-2-quantised;1
7;1591261709862;04/06/2020 09:08:29;1591261713183;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;response-2-text;
8;1591261709862;04/06/2020 09:08:29;1591261713183;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;response-3;Polish
9;1591261709862;04/06/2020 09:08:29;1591261713183;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;country;Poland
10;1591261709862;04/06/2020 09:08:29;1591261713183;2;04/06/2020 11:08:33;18619;2;questionnaire-b579;;5303222;5d78e48415b10d00163c814e;1494127;;complete;;5ed8b523858a153d0d2ef80b;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_horiAA_1st0;Consents given;exp done;demographics done;education;High school diploma
