Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
13;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;psyKnowledge-quantised;3
14;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;comment;
15;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;response-3;French
1;1590681320966;28/05/2020 15:55:20;1590681317708;1;28/05/2020 16:55:17;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1473x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1590681350561;28/05/2020 15:55:50;1590681347365;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;sex;male
3;1590681350623;28/05/2020 15:55:50;1590681347366;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;sex-quantised;1
4;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;age;33
5;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-2;right-handed
6;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-2-quantised;1
7;1590681350623;28/05/2020 15:55:50;1590681347367;1;28/05/2020 16:55:47;18619;2;questionnaire-b579;;5180265;5ebc6438748b21094bb167c9;1465518;;complete;;5ecfd248df851004e3d121fc;computer;Desktop or Laptop;Mac OS 10.12.6;Chrome 83.0.4103.61;1920x1080;1458x852;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-2-text;
