Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
943;1589787640016;18/05/2020 07:40:40;1589787639354;2;18/05/2020 09:40:39;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;238;218;1;Screen 1;fixation;fixation;1403;;;;0;1;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert9.png;;;;L;vertLA.png;blackblackvert.png;;;black;blue;vert;9;magnit;300;2.0;25.0;237
944;1589787640312;18/05/2020 07:40:40;1589787639656;2;18/05/2020 09:40:39;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;238;218;2;Screen 2;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert9.png;;;;L;vertLA.png;blackblackvert.png;;;black;blue;vert;9;magnit;300;2.0;25.0;237
945;1589787640609;18/05/2020 07:40:40;1589787639955;2;18/05/2020 09:40:39;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;238;218;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackbluevert.png;blackbluevert9.png;;;;L;vertLA.png;blackblackvert.png;;;black;blue;vert;9;magnit;300;2.0;25.0;237
946;1589787641484;18/05/2020 07:40:41;1589787640733;2;18/05/2020 09:40:40;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;238;218;4;Screen 4;Zone4;response_keyboard_single;770;;L;1;1;0;0;;;;;;trial;;;;;;blackbluevert.png;blackbluevert9.png;;;;L;vertLA.png;blackblackvert.png;;;black;blue;vert;9;magnit;300;2.0;25.0;237
947;1589787642813;18/05/2020 07:40:42;1589787642122;2;18/05/2020 09:40:42;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;239;219;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;trial;;;;;;blackredvert.png;blackredvert8.png;;;;L;vertLA.png;blackblackvert.png;;;black;red;vert;8;magnit;300;2.0;26.0;238
948;1589787643093;18/05/2020 07:40:43;1589787642422;2;18/05/2020 09:40:42;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;239;219;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredvert.png;blackredvert8.png;;;;L;vertLA.png;blackblackvert.png;;;black;red;vert;8;magnit;300;2.0;26.0;238
949;1589787643391;18/05/2020 07:40:43;1589787642722;2;18/05/2020 09:40:42;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;239;219;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredvert.png;blackredvert8.png;;;;L;vertLA.png;blackblackvert.png;;;black;red;vert;8;magnit;300;2.0;26.0;238
950;1589787644140;18/05/2020 07:40:44;1589787643463;2;18/05/2020 09:40:43;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;239;219;4;Screen 4;Zone4;response_keyboard_single;734;;L;1;1;0;0;;;;;;trial;;;;;;blackredvert.png;blackredvert8.png;;;;L;vertLA.png;blackblackvert.png;;;black;red;vert;8;magnit;300;2.0;26.0;238
951;1589787645530;18/05/2020 07:40:45;1589787644859;2;18/05/2020 09:40:44;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;240;220;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;trial;;;;;;blackredvert.png;blackredvert3.png;;;;A;vertLA.png;blackblackvert.png;;;black;red;vert;3;magnit;300;2.0;27.0;239
952;1589787645812;18/05/2020 07:40:45;1589787645159;2;18/05/2020 09:40:45;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;240;220;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;trial;;;;;;blackredvert.png;blackredvert3.png;;;;A;vertLA.png;blackblackvert.png;;;black;red;vert;3;magnit;300;2.0;27.0;239
953;1589787646124;18/05/2020 07:40:46;1589787645460;2;18/05/2020 09:40:45;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;240;220;3;Screen 3;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;trial;;;;;;blackredvert.png;blackredvert3.png;;;;A;vertLA.png;blackblackvert.png;;;black;red;vert;3;magnit;300;2.0;27.0;239
